n,running,averaging
1,72404,72408
2,67431,67433
3,66077,66079
4,65417,65420
5,70565,70568
6,67473,67476
7,68656,68659
8,68540,68543
9,67721,67725
10,66923,66927
11,66555,66558
12,66165,66168
13,64856,64860
14,64704,64707
15,65423,65426
16,65996,65999
17,65294,65297
18,64315,64317
19,64318,64320
20,64465,64468
21,64581,64584
22,63067,63070
23,63950,63953
24,64646,64650
25,63512,63514
26,63738,63741
27,63641,63644
28,63486,63489
29,63642,63644
30,63685,63689
31,63800,63802
32,63502,63504
33,63210,63212
34,63047,63049
35,62997,62999
36,63041,63044
37,62769,62771
38,63012,63015
39,63583,63586
40,63229,63232
41,62663,62666
42,62733,62735
43,62506,62509
44,62619,62621
45,62273,62276
46,62113,62115
47,62366,62369
48,62799,62801
49,63001,63003
50,62886,62888
51,62302,62304
52,62254,62256
53,62284,62287
54,62335,62338
55,63051,63053
56,62250,62253
57,62223,62225
58,61993,61995
59,62137,62140
60,61945,61947
61,62031,62034
62,61979,61981
63,62238,62240
64,62118,62120
65,61865,61867
66,61682,61684
67,61971,61974
68,62555,62558
69,62016,62019
70,62256,62259
71,61912,61915
72,61568,61570
73,61492,61494
74,61565,61568
75,61680,61682
76,61477,61479
77,61773,61775
78,61539,61542
79,61372,61374
80,61806,61809
81,61447,61449
82,61547,61550
83,61294,61297
84,61412,61414
85,61309,61311
86,61263,61266
87,61830,61833
88,62246,62249
89,61974,61976
90,62220,62222
91,61687,61690
92,61173,61176
93,61033,61036
94,61083,61086
95,61027,61030
96,61196,61199
97,60916,60919
98,61251,61253
99,61007,61010
